plant_id,fips_raw,county_FIPS,coord_lat,coord_long,coords,plant_name,plant_state,census_region,NERC_region,prime_mover,reported_FTC,AER_FTC,AER_FTC_full,MMBTU_con_tot_YTD,MMBTU_con_elec_YTD,MWh_net_gen_elec_YTD
50051,23019,23019,44.7383,-68.8258,"44.7383,-68.8258",Penobscot Energy Recovery,ME,NEW,NPCC,ST,MSN,OTH,Other (including nonbiogenic MSW),920275,920275,45660.154
50051,23019,23019,44.7383,-68.8258,"44.7383,-68.8258",Penobscot Energy Recovery,ME,NEW,NPCC,ST,WDS,WWW,Wood and Wood Waste,0,0,0
50054,48201,48201,29.721048,-95.39536,"29.721048,-95.39536",Rice University,TX,WSC,TRE,GT,NG,NG,Natural Gas,265242,96036,19584.32
50060,24033,24033,38.824863,-76.773149,"38.824863,-76.773149",Brown Station Road Plant I,MD,SAT,RFC,IC,LFG,MLG,Biogenic Municipal Solid Waste and Landfill Gas,0,0,0
50061,6073,06073,32.778225,-117.070114,"32.778225,-117.070114",San Diego State University,CA,PACC,WECC,CA,NG,NG,Natural Gas,0,0,6452
50061,6073,06073,32.778225,-117.070114,"32.778225,-117.070114",San Diego State University,CA,PACC,WECC,CT,NG,NG,Natural Gas,675559,365706,45837
50061,6073,06073,32.778225,-117.070114,"32.778225,-117.070114",San Diego State University,CA,PACC,WECC,PV,SUN,SUN,Solar PV and thermal,14820,14820,1664
50064,6087,06087,36.9997,-122.0622,"36.9997,-122.0622",Univ of Calif Santa Cruz Cogeneration,CA,PACC,WECC,GT,NG,NG,Natural Gas,344757,206152,32039
50066,6033,06033,38.7879,-122.7434,"38.7879,-122.7434",Calistoga Power Plant,CA,PACC,WECC,ST,GEO,GEO,Geothermal,3566684,3566684,400526
50067,48233,48233,35.6647,-101.4354,"35.6647,-101.4354",Borger Plant,TX,WSC,MRO,ST,BFG,OOG,Other Gases,2504127,351450,64609.105
50067,48233,48233,35.6647,-101.4354,"35.6647,-101.4354",Borger Plant,TX,WSC,MRO,ST,NG,NG,Natural Gas,164787,34778,7458.895
50071,12099,12099,26.771389,-80.141944,"26.771389,-80.141944",Palm Beach Renewable Energy Facility 1,FL,SAT,SERC,ST,MSB,MLG,Biogenic Municipal Solid Waste and Landfill Gas,2851530,2851530,157743.65
50071,12099,12099,26.771389,-80.141944,"26.771389,-80.141944",Palm Beach Renewable Energy Facility 1,FL,SAT,SERC,ST,MSN,OTH,Other (including nonbiogenic MSW),3485053,3485053,192789.38
50071,12099,12099,26.771389,-80.141944,"26.771389,-80.141944",Palm Beach Renewable Energy Facility 1,FL,SAT,SERC,ST,NG,NG,Natural Gas,15512,15512,845.97
50074,42045,42045,39.8103,-75.4281,"39.8103,-75.4281",Marcus Hook Refinery Cogen,PA,MAT,RFC,GT,NG,NG,Natural Gas,3808,3808,300
